Hour,Minute,Second,Microsecond,IR1,
11,10,13,318279,28328,13.32
11,10,13,330175,28327,13.33
11,10,13,343179,28321,13.34
11,10,13,351430,28317,13.35
11,10,13,363214,28317,13.36
11,10,13,371269,28321,13.37
11,10,13,384190,28320,13.38
11,10,13,392283,28314,13.39
11,10,13,404210,28324,13.40
11,10,13,416067,28321,13.42
11,10,13,424329,28324,13.42
11,10,13,437213,28317,13.44
11,10,13,445269,28309,13.45
11,10,13,457280,28311,13.46
11,10,13,465301,28310,13.47
11,10,13,478284,28310,13.48
11,10,13,490119,28306,13.49
11,10,13,498078,28315,13.50
11,10,13,510193,28305,13.51
11,10,13,519256,28304,13.52
11,10,13,531257,28310,13.53
11,10,13,539129,28305,13.54
11,10,13,551091,28306,13.55
11,10,13,564000,28307,13.56
11,10,13,572154,28306,13.57
