AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw,,,,,
-0.2591,-0.2614,0.9003,-0.2128,0.7174,0.3337,-2.905,1.1987,-10.0975,-16.1907213157,-15.4603958661,-102.4765038793,,,,,
,,,,,,,,,,,,,,,,
-0.2592,-0.2613,0.9007,-0.2128,0.7174,0.3337,-3.465,1.0412,-10.22,-16.1778804022,-15.4552005095,-102.4737535924,,,,,
,,,,,,,,,,,,,,,,
-0.2618,-0.2617,0.901,-0.2156,0.7191,0.3348,-3.9813,0.9887,-9.0475,-16.1961634373,-15.5233650653,-102.5950716751,,,,,
,,,,,,,,,,,,,,,,
-0.261,-0.2605,0.8988,-0.2156,0.7191,0.3348,-3.4738,0.9013,-9.1437,-16.1632970539,-15.5552144724,-102.589252643,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2629,0.9012,-0.2146,0.7205,0.3276,-3.9813,0.9275,-9.3887,-16.262902769,-15.4755970409,-102.728328917,,,,,
,,,,,,,,,,,,,,,,
-0.2588,-0.2623,0.9038,-0.2127,0.7187,0.3346,-4.1388,1.0237,-9.8175,-16.1839203347,-15.4265610321,-102.4516592241,,,,,
,,,,,,,,,,,,,,,,
-0.2604,-0.2612,0.8932,-0.2127,0.7187,0.3346,-3.8238,1.1287,-9.7737,-16.3003229059,-15.5223298498,-102.4235594468,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2608,0.8987,-0.2134,0.717,0.3359,-3.15,0.4987,-9.625,-16.1828400964,-15.4777590591,-102.470589578,,,,,
,,,,,,,,,,,,,,,,
-0.2577,-0.2633,0.9023,-0.2134,0.717,0.3359,-2.8087,0.7437,-9.345,-16.2675670095,-15.3966440622,-102.5140037051,,,,,
,,,,,,,,,,,,,,,,
-0.2597,-0.2596,0.8982,-0.2138,0.7166,0.3355,-3.22,1.015,-9.3187,-16.1208235986,-15.4594895674,-102.4804596008,,,,,
,,,,,,,,,,,,,,,,
-0.261,-0.2608,0.9011,-0.2122,0.7185,0.3345,-3.5,0.8225,-9.3712,-16.1416657238,-15.5073206912,-102.3763747029,,,,,
,,,,,,,,,,,,,,,,
-0.2608,-0.2607,0.9048,-0.2122,0.7185,0.3345,-3.3338,1.5137,-9.45,-16.0734352228,-15.4988262492,-102.37521516,,,,,
,,,,,,,,,,,,,,,,
-0.2603,-0.2601,0.9005,-0.2117,0.7202,0.3315,-3.1412,1.085,-9.8262,-16.1107216696,-15.5091531583,-102.3919431738,,,,,
,,,,,,,,,,,,,,,,
-0.2586,-0.2632,0.8985,-0.2117,0.7202,0.3315,-3.2813,0.7175,-9.5288,-16.326530644,-15.4706008761,-102.456627412,,,,,
,,,,,,,,,,,,,,,,
-0.2597,-0.2614,0.9019,-0.215,0.719,0.331,-3.0188,0.5775,-9.3975,-16.1636877579,-15.4641565634,-102.6604971708,,,,,
,,,,,,,,,,,,,,,,
-0.2559,-0.2623,0.8995,-0.215,0.7194,0.3322,-3.5175,0.5513,-9.1,-16.2568086581,-15.3528227973,-102.6888933957,,,,,
,,,,,,,,,,,,,,,,
-0.2591,-0.2635,0.9002,-0.2133,0.7194,0.3322,-3.0538,1.3212,-9.7912,-16.3152896533,-15.3887983515,-102.5535540875,,,,,
,,,,,,,,,,,,,,,,
