AcclX,AcclY,AcclZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,Roll,Pitch,Yaw
-0.2719,-0.1997,0.9135,-0.1809,0.7316,0.3383,-2.4413,0.9625,-10.64,-12.331293964808095,-16.23031603741083,-99.0289084485948
-0.2745,-0.1981,0.911,-0.1802,0.732,0.3372,-2.9225,1.2337,-10.0625,-12.268318092086124,-16.396837421158875,-98.93546131212396
-0.2744,-0.1987,0.9108,-0.1802,0.732,0.3372,-2.7475,1.2163,-11.025,-12.306723410007432,-16.401545483963115,-98.94592773913898
-0.2705,-0.1988,0.9164,-0.1788,0.7344,0.339,-3.5088,1.1462,-10.1412,-12.240011695439902,-16.107789635689432,-98.86331794034882
-0.2725,-0.198,0.9123,-0.179,0.734,0.3382,-3.5875,1.2862,-10.3775,-12.245204598844385,-16.263600882977684,-98.84915452250556
-0.2743,-0.1967,0.9143,-0.179,0.734,0.3382,-3.6837,1.715,-10.255,-12.141644190583758,-16.341829750204045,-98.80420795486252
-0.2748,-0.1959,0.9104,-0.1786,0.7323,0.3379,-3.0538,1.5837,-10.7187,-12.143740085757303,-16.435401786331212,-98.76945795052707
-0.2777,-0.1981,0.9122,-0.1786,0.7323,0.3379,-3.7275,1.225,-10.6925,-12.252258215660852,-16.560325731476713,-98.76155114958425
-0.2718,-0.1974,0.9131,-0.1769,0.7352,0.3375,-4.1563,1.015,-10.4475,-12.198975824859824,-16.240190674283337,-98.7160916396925
-0.2748,-0.1999,0.9107,-0.1786,0.7338,0.338,-2.905,1.0587,-10.2112,-12.379740845945197,-16.412074755033693,-98.81998053448812
-0.2731,-0.1979,0.9119,-0.1786,0.7338,0.338,-3.22,1.3212,-10.5,-12.244747470208507,-16.318627818325485,-98.81640495917287
-0.2749,-0.1961,0.9145,-0.1794,0.733,0.3372,-3.0013,1.2075,-9.9575,-12.103223508617285,-16.3758483542527,-98.84165365355695
-0.271,-0.1984,0.9171,-0.1794,0.733,0.3372,-2.8612,0.84,-10.4737,-12.20667462351724,-16.123622494273256,-98.939455347482
